20180704235637: Adding Event: PB: Empty..
20180704235637: Adding Event: OK AC2CZ.
20180704235637: Adding Event: PB: AC2CZ.
20180704235637: Adding Event: PB: Empty..
20180704235637: Adding Event: OK AC2CZ.
20180704235637: Adding Event: PB: AC2CZ.
20180704235640: Adding Event: PB: Empty..
20180704235641: Adding Event: OK AC2CZ.
20180704235641: Adding Event: PB: AC2CZ.
20180704235644: Adding Event: PB: Empty..
20180704235644: Adding Event: OK AC2CZ.
20180704235644: Adding Event: PB: AC2CZ.
20180704235646: Adding Event: Open ABCD: 
20180704235646: Adding Event: PB: Empty..
20180704235646: Adding Event: OK AC2CZ.
20180704235646: Window Closed
20180704235649: STARTING DL Thread
20180704235657: Adding Event: From:AC2CZ to PFS3-11 Ctrl: 3 Type: UI PID: bd FLG: 10 FILE: 0 BLK_SIZE: f4 First HOLE: Mon Mar 26 00:20:33 EDT 2018 - Mon Jan 18 22:14:07 EST 2038
20180704235714: STARTING DL Thread
20180704235718: Adding Event: From:AC2CZ to PFS3-11 Ctrl: 3 Type: UI PID: bd FLG: 10 FILE: 0 BLK_SIZE: f4 First HOLE: Mon Mar 26 00:20:33 EDT 2018 - Mon Jan 18 22:14:07 EST 2038
20180704235727: START Frame Decoder Thread
20180704235727: START TNC Decoder Thread
20180704235727: Adding Event: PB: Empty..
20180704235727: Adding Event: OK N8MH.
20180704235727: Adding Event: PB: N8MH.
20180704235727: Adding Event: PB: Empty..
20180704235727: Saved directory to disk
20180704235728: Saved directory to disk
20180704235728: Saved directory to disk
20180704235728: Saved directory to disk
20180704235728: Saved directory to disk
20180704235729: Saved directory to disk
20180704235729: Adding Event: PB: AC2CZ\D.
20180704235729: Saved directory to disk
20180704235729: Saved directory to disk
20180704235729: Saved directory to disk
20180704235729: Saved directory to disk
20180704235730: Saved directory to disk
20180704235730: Saved directory to disk
20180704235730: Saved directory to disk
20180704235730: Adding Event: PB: Empty..
20180704235731: Adding Event: OK AC2CZ.
20180704235731: Adding Event: PB: AC2CZ\D.
20180704235731: Adding Event: Open ABCD: 
20180704235731: Saved directory to disk
20180704235731: Saved directory to disk
20180704235731: Saved directory to disk
20180704235731: Saved directory to disk
20180704235731: Saved directory to disk
20180704235732: Saved directory to disk
20180704235732: Saved directory to disk
20180704235732: Saved directory to disk
20180704235732: Saved directory to disk
20180704235732: Saved directory to disk
20180704235732: Saved directory to disk
20180704235733: Saved directory to disk
20180704235733: Saved directory to disk
20180704235733: Saved directory to disk
20180704235734: Saved directory to disk
20180704235734: Adding Event: PB: AC2CZ\D.
20180704235734: Saved directory to disk
20180704235734: Saved directory to disk
20180704235734: Saved directory to disk
20180704235734: Saved directory to disk
20180704235734: Saved directory to disk
20180704235734: Saved directory to disk
20180704235735: Saved directory to disk
20180704235735: Saved directory to disk
20180704235735: Saved directory to disk
20180704235735: Adding Event: PB: Empty..
20180704235735: Adding Event: OK AC2CZ.
20180704235735: Adding Event: PB: AC2CZ\D.
20180704235735: Saved directory to disk
20180704235735: Saved directory to disk
20180704235735: EXIT TNC Decoder Thread
20180704235735: Saved directory to disk
20180704235752: Adding Event: From:AC2CZ to PFS3-11 Ctrl: 3 Type: UI PID: bd FLG: 10 FILE: 0 BLK_SIZE: f4 First HOLE: Mon Jun 11 04:46:37 EDT 2018 - Mon Jan 18 22:14:07 EST 2038
20180704235809: Adding Event: From:AC2CZ to PFS3-12 Ctrl: 3 Type: UI PID: bb FLG: 10 FILE: 1234 BLK_SIZE: f4
20180705000426: Adding Event: From:AC2CZ to PFS3-11 Ctrl: 3 Type: UI PID: bd FLG: 10 FILE: 0 BLK_SIZE: f4 First HOLE: Mon Jun 11 04:46:37 EDT 2018 - Mon Jan 18 22:14:07 EST 2038
20180705000430: Window Closed
